Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131
Q8IWZ3,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,1,2,5,2542,16.3,10.8,15.3,20.7,18.8,16.1,18.9,12.5,15.8,17.1,,,,,,,,,,
Q14554,Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1,8,2,5,519,214.8,118.8,235.1,229.4,202.3,227.4,202.9,179.2,225.6,206.1,91.9,64.4,128.5,91.6,95.4,97.7,60.7,85.9,80.5,120.2
P58107,Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3,3,6,18,5088,69.2,59.5,48.3,133.2,54.5,80.2,68.4,51.5,45.9,57.9,105.2,124.1,94.3,117.2,128.1,143.8,108.7,119.6,105.0,153.5
Q8IZT6,Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens OX=9606 GN=ASPM PE=1 SV=2,1,2,4,3477,15.4,5.6,14.9,12.9,12.9,12.6,12.2,6.4,8.2,6.4,,,,,,,,,,
Q86X55,Histone-arginine methyltransferase CARM1 OS=Homo sapiens OX=9606 GN=CARM1 PE=1 SV=3,6,3,5,608,48.8,29.0,49.9,53.5,46.0,46.7,51.3,43.5,45.2,41.8,24.1,16.6,30.6,23.4,25.4,25.7,17.4,18.1,19.5,30.7
P28074,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,27,5,8,263,135.0,61.3,128.2,113.3,142.8,150.6,148.1,112.3,126.6,115.3,83.0,86.8,124.4,91.0,106.5,93.8,81.0,89.0,64.7,119.7
Q96Q11,"CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=TRNT1 PE=1 SV=2",4,2,6,434,66.9,42.1,104.1,131.1,85.4,90.3,95.1,69.9,92.8,75.1,117.2,101.2,308.0,197.0,297.5,282.3,186.5,145.1,236.6,210.0
Q8TAQ2,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens OX=9606 GN=SMARCC2 PE=1 SV=1,4,5,14,1214,29.6,18.7,29.0,33.5,40.6,39.0,34.8,20.7,33.8,41.4,32.7,39.3,67.0,50.5,56.2,62.4,36.2,55.8,28.8,74.7
Q16576,Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1,6,3,8,425,87.7,61.9,92.5,93.7,104.6,106.9,109.7,75.9,84.5,85.3,75.1,53.6,98.0,62.0,73.7,75.8,62.6,61.0,52.7,82.1
Q92614,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,7,12,27,2054,107.2,60.6,122.9,136.6,119.0,134.2,115.8,97.3,98.2,105.6,70.3,61.1,106.6,69.1,79.0,88.8,52.0,69.9,61.9,91.0
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens OX=9606 GN=PRKAA1 PE=1 SV=4,13,5,13,559,16.6,11.8,18.5,19.1,20.1,18.2,23.5,14.2,17.6,14.5,15.7,10.8,20.6,12.5,13.2,14.2,16.8,22.9,13.4,17.8
Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2,4,5,18,1341,28.5,14.0,34.8,29.5,37.8,31.7,28.1,32.1,33.4,29.2,60.8,49.9,95.5,54.7,69.6,71.2,49.2,55.9,50.9,87.5
P49257,Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2,5,4,11,510,61.4,30.5,38.4,89.9,49.7,63.7,68.5,50.1,35.6,47.7,71.6,63.7,133.0,103.4,92.6,98.8,63.4,89.1,57.2,107.9
Q9NPE3,H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens OX=9606 GN=NOP10 PE=1 SV=1,38,2,6,64,34.3,18.3,28.6,27.8,22.5,32.7,27.5,22.9,26.5,30.5,14.9,8.6,18.8,18.2,13.0,16.9,11.7,14.7,13.1,19.7
Q99832,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,14,6,26,543,110.6,62.7,94.3,89.9,99.7,105.5,94.9,82.8,77.7,83.4,142.5,120.1,186.3,128.7,168.6,138.5,102.7,124.4,98.4,160.6
P51991,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,24,8,49,378,87.3,57.5,94.9,110.4,103.0,96.8,100.2,73.8,98.4,83.7,66.1,40.7,74.8,67.9,70.4,72.9,49.6,55.6,35.9,78.5
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3",15,11,33,727,96.2,53.8,80.1,87.9,88.5,75.5,88.5,60.0,72.8,74.3,184.0,172.2,217.4,199.5,207.2,199.9,197.2,164.5,150.7,238.1
Q96KN9,Gap junction delta-4 protein OS=Homo sapiens OX=9606 GN=GJD4 PE=2 SV=1,4,2,3,370,195.8,102.0,306.0,687.8,295.6,352.0,423.2,238.7,337.6,303.8,123.8,115.3,252.2,172.7,226.5,230.5,149.3,181.9,171.9,233.1
Q9H6R0,ATP-dependent RNA helicase DHX33 OS=Homo sapiens OX=9606 GN=DHX33 PE=1 SV=2,2,2,7,707,,,,,,,,,,,11.7,12.0,27.1,13.8,21.8,20.0,11.2,22.6,17.1,32.2
P61201,COP9 signalosome complex subunit 2 OS=Homo sapiens OX=9606 GN=COPS2 PE=1 SV=1,15,5,10,443,58.8,32.5,71.5,66.8,64.4,64.0,67.4,50.6,60.3,54.9,85.0,71.9,120.8,84.8,102.4,99.0,114.7,94.1,52.7,105.0
Q9Y230,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,9,4,9,463,25.4,10.0,24.2,28.0,30.2,23.1,31.5,21.4,30.5,28.7,53.1,47.6,94.0,64.0,78.7,79.1,74.7,61.1,57.5,79.7
Q15067,Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens OX=9606 GN=ACOX1 PE=1 SV=3,5,3,9,660,96.1,44.2,89.5,81.0,79.4,82.5,84.3,57.9,63.6,65.5,57.8,49.5,88.4,62.6,73.8,68.1,60.1,51.8,52.1,80.7
Q9H223,EH domain-containing protein 4 OS=Homo sapiens OX=9606 GN=EHD4 PE=1 SV=1,6,3,5,541,14.8,13.3,17.2,22.7,11.2,21.7,16.9,15.7,13.1,16.4,11.5,8.9,11.4,10.1,11.6,11.2,7.8,9.7,9.7,11.7
Q9UKG1,DCC-interacting protein 13-alpha OS=Homo sapiens OX=9606 GN=APPL1 PE=1 SV=1,9,5,10,709,12.7,9.4,14.4,13.7,17.1,9.8,12.7,11.3,12.1,12.6,10.0,6.9,19.9,14.6,10.0,15.5,10.3,9.0,7.8,13.6
Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=SQOR PE=1 SV=1",14,5,14,450,26.5,18.4,21.8,24.5,22.6,27.3,21.6,25.7,12.9,21.6,32.1,25.7,37.9,27.7,32.7,20.4,14.8,26.2,16.0,35.8
Q13347,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,25,5,24,325,81.6,54.4,107.0,108.6,95.5,108.3,98.4,80.9,98.6,98.8,92.0,73.2,148.3,106.3,118.5,124.4,94.9,93.4,80.8,133.2
Q96JD6,"1,5-anhydro-D-fructose reductase OS=Homo sapiens OX=9606 GN=AKR1E2 PE=1 SV=2",9,3,14,320,63.0,28.0,78.5,74.4,63.5,63.3,67.4,49.9,71.4,63.9,42.9,44.7,57.1,45.7,59.3,50.6,48.6,39.4,40.2,58.9
Q9HAB8,Phosphopantothenate--cysteine ligase OS=Homo sapiens OX=9606 GN=PPCS PE=1 SV=2,5,2,3,311,222.9,120.5,136.9,165.5,180.4,215.6,162.7,159.9,158.6,169.7,100.4,99.6,104.7,99.8,79.9,80.0,91.6,93.2,62.0,126.8
Q16775,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=2",8,2,6,308,52.5,31.5,52.9,49.2,47.3,45.9,48.3,38.8,44.6,43.3,47.2,42.9,57.4,46.1,47.0,41.4,37.2,44.0,33.0,56.9
P42892,Endothelin-converting enzyme 1 OS=Homo sapiens OX=9606 GN=ECE1 PE=1 SV=2,5,3,10,770,24.6,10.9,24.7,35.7,27.5,26.6,30.5,25.4,21.4,19.9,48.7,42.4,90.3,56.7,64.8,54.1,53.7,52.2,41.2,62.6
Q9UDX5,Mitochondrial fission process protein 1 OS=Homo sapiens OX=9606 GN=MTFP1 PE=1 SV=1,14,2,3,166,51.8,31.2,24.4,73.6,36.1,54.9,40.2,36.0,31.0,34.7,,,,,,,,,,
O15260,Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3,13,3,8,269,254.0,156.6,170.5,466.9,173.1,284.2,264.8,202.8,135.6,217.8,67.1,74.3,131.7,92.8,81.1,76.9,65.9,66.8,40.0,94.4
Q96AX1,Vacuolar protein sorting-associated protein 33A OS=Homo sapiens OX=9606 GN=VPS33A PE=1 SV=1,7,4,9,596,51.8,29.4,67.2,58.0,56.7,58.6,56.8,41.2,58.5,49.8,42.0,38.8,73.2,51.9,55.8,61.0,48.9,45.1,42.7,67.9
Q2M389,WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=2,2,2,3,1173,32.3,17.6,38.8,43.0,33.7,29.7,31.2,24.1,36.4,39.1,11.2,9.5,18.6,11.3,17.3,16.8,9.4,10.3,9.3,16.4
P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,12,4,18,439,98.6,74.4,107.6,119.8,103.8,102.9,93.6,89.7,84.5,104.8,139.9,117.1,184.7,130.2,154.4,127.6,102.3,121.7,68.7,144.8
P35914,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCL PE=1 SV=2",6,2,13,325,74.4,33.8,43.2,51.6,59.8,65.6,90.3,39.5,71.1,67.9,139.3,131.5,140.8,148.7,151.0,150.3,92.0,133.4,107.6,166.9
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,4,2,2,783,30.1,16.6,46.3,48.9,46.8,47.5,37.9,34.3,33.7,32.0,12.5,14.5,19.2,10.0,14.4,12.0,11.9,14.5,14.4,20.9
Q02388,Collagen alpha-1(VII) chain OS=Homo sapiens OX=9606 GN=COL7A1 PE=1 SV=2,1,2,2,2944,48.8,22.1,36.4,47.5,33.3,41.4,44.8,33.8,30.8,38.9,,,,,,,,,,
O00571,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,16,10,39,662,83.6,52.3,89.2,118.3,89.1,75.1,75.2,75.3,70.8,72.3,51.2,49.7,101.3,60.7,76.8,73.2,59.2,61.1,51.9,68.8
P08865,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,34,6,40,295,80.2,63.6,99.5,117.4,86.8,93.6,86.9,67.6,84.2,74.3,77.2,66.6,119.0,85.3,93.3,86.9,73.4,68.3,61.2,116.2
Q6XQN6,Nicotinate phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAPRT PE=1 SV=2,12,4,12,538,52.4,29.3,51.8,51.4,53.0,57.2,56.5,49.1,48.4,47.9,22.8,18.5,30.0,25.7,29.9,28.0,20.4,22.6,23.4,36.7
P30085,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,11,2,9,196,123.0,71.3,116.6,121.8,124.7,131.9,123.6,103.3,110.1,117.8,93.1,96.7,139.4,141.0,129.9,160.7,114.3,141.9,96.5,153.2
A3KMH1,von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2,10,19,59,1905,88.4,62.8,85.7,96.1,93.8,81.6,87.0,73.6,87.7,78.7,123.1,105.2,175.8,171.9,148.6,140.2,111.1,132.8,108.2,180.8
P17661,Desmin OS=Homo sapiens OX=9606 GN=DES PE=1 SV=3,26,12,37,470,110.8,99.6,129.2,148.5,125.0,121.2,254.2,183.9,137.6,205.1,123.7,37.8,64.3,42.3,47.6,60.2,261.8,67.5,42.2,89.5
O43684,Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1,20,6,9,328,94.8,51.1,89.9,95.1,77.6,95.4,90.3,76.9,88.2,81.8,35.5,26.7,51.7,44.6,48.5,51.0,28.4,41.7,36.9,47.9
Q8IZ83,Aldehyde dehydrogenase family 16 member A1 OS=Homo sapiens OX=9606 GN=ALDH16A1 PE=1 SV=2,9,5,13,802,66.2,34.2,79.6,82.4,67.7,68.6,74.6,55.4,65.6,63.4,108.0,97.9,139.0,118.8,124.5,115.8,100.2,111.8,99.0,138.7
O75954,Tetraspanin-9 OS=Homo sapiens OX=9606 GN=TSPAN9 PE=1 SV=1,14,2,3,239,22.9,9.5,19.0,29.4,18.4,19.7,21.9,14.5,18.5,18.9,21.5,16.5,20.5,18.1,18.7,20.3,20.5,14.9,12.8,23.6
P35557,Hexokinase-4 OS=Homo sapiens OX=9606 GN=GCK PE=1 SV=1,9,3,11,465,138.2,61.3,91.8,115.9,130.5,147.3,151.3,119.8,146.8,154.0,70.5,90.6,88.2,105.7,84.4,106.3,107.9,84.2,68.8,119.5
P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,2,2,3,1170,37.9,33.6,77.3,44.8,41.6,55.5,39.2,42.7,58.8,49.6,32.8,26.6,28.7,36.0,39.7,42.0,27.2,35.3,29.0,54.7
P04062,Lysosomal acid glucosylceramidase OS=Homo sapiens OX=9606 GN=GBA1 PE=1 SV=3,3,2,3,536,59.0,36.5,73.2,65.7,54.0,69.4,53.1,50.1,52.0,60.4,99.2,81.1,150.1,113.2,130.3,152.8,81.3,102.7,86.7,137.9
Q6WKZ4,Rab11 family-interacting protein 1 OS=Homo sapiens OX=9606 GN=RAB11FIP1 PE=1 SV=3,1,2,3,1283,78.6,78.2,76.9,99.5,61.9,72.1,65.4,56.8,63.3,75.8,,,,,,,,,,
Q3LXA3,Triokinase/FMN cyclase OS=Homo sapiens OX=9606 GN=TKFC PE=1 SV=2,3,2,13,575,204.5,125.2,158.2,228.1,196.2,246.6,216.3,166.6,164.9,189.6,131.7,160.4,153.3,165.9,159.6,173.1,157.4,150.8,102.9,188.1
P18669,Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2,16,3,16,254,123.9,69.3,132.5,135.4,132.6,129.8,128.2,122.2,102.3,112.4,96.5,97.7,162.7,123.5,150.7,145.9,463.7,185.3,104.7,216.1
P04908,Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC4 PE=1 SV=2,27,3,12,130,80.7,38.0,70.7,74.1,61.7,89.3,65.0,46.0,63.0,75.0,316.5,302.6,451.9,364.3,359.0,403.0,302.5,312.1,296.2,414.6
Q13232,Nucleoside diphosphate kinase 3 OS=Homo sapiens OX=9606 GN=NME3 PE=1 SV=2,14,3,5,169,105.2,61.2,82.1,122.1,88.9,112.2,101.0,83.1,87.3,91.2,34.7,31.5,55.3,39.6,36.3,35.9,26.8,26.0,26.5,41.3
P13798,Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4,5,2,5,732,12.6,9.3,13.3,10.7,12.5,13.2,15.5,10.2,12.8,14.0,9.6,9.1,15.5,12.5,12.8,13.6,10.1,10.1,14.6,11.1
A0A087X1C5,Putative cytochrome P450 2D7 OS=Homo sapiens OX=9606 GN=CYP2D7 PE=5 SV=1,4,2,5,515,25.1,16.3,14.2,39.9,17.0,19.7,16.9,15.3,11.9,13.7,19.8,18.8,36.1,26.6,17.1,21.5,15.6,21.5,11.3,23.3
O00625,Pirin OS=Homo sapiens OX=9606 GN=PIR PE=1 SV=1,8,2,5,290,18.7,10.2,19.6,22.3,20.6,20.7,17.9,13.4,23.3,17.1,21.7,20.6,30.5,21.5,24.6,20.1,19.8,18.8,19.4,27.3
P61204,ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2,19,4,17,181,78.6,58.9,108.0,117.1,107.3,99.1,100.1,79.3,91.2,84.6,75.5,65.1,143.9,83.9,97.9,98.7,72.2,89.6,64.8,120.5
Q96DI7,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,6,2,5,357,23.5,13.0,26.3,22.7,23.4,26.9,22.6,18.9,18.4,22.3,17.7,18.1,27.4,19.3,20.5,24.4,17.0,19.2,16.8,27.5
P14174,Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,16,2,30,115,114.5,70.8,133.4,138.7,119.0,143.0,133.4,111.2,131.9,123.4,127.8,118.6,178.0,119.8,161.7,188.5,105.4,127.0,116.1,180.5
Q99459,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,5,3,7,802,16.6,14.0,23.9,26.0,22.6,21.1,25.6,18.9,28.5,18.7,19.4,24.2,48.7,28.6,35.4,38.3,25.5,29.9,30.9,48.0
Q7Z4S6,Kinesin-like protein KIF21A OS=Homo sapiens OX=9606 GN=KIF21A PE=1 SV=2,2,2,2,1674,11.8,6.6,23.1,20.3,22.1,21.5,15.5,13.1,16.9,15.5,22.7,23.1,50.2,32.3,34.2,28.6,22.7,29.1,24.8,41.0
Q05086,Ubiquitin-protein ligase E3A OS=Homo sapiens OX=9606 GN=UBE3A PE=1 SV=4,2,2,4,875,44.3,21.9,55.9,57.7,53.1,50.3,48.3,35.4,50.6,46.4,52.6,47.2,94.5,52.1,71.1,69.3,59.6,59.1,52.4,77.8
Q7L5N1,COP9 signalosome complex subunit 6 OS=Homo sapiens OX=9606 GN=COPS6 PE=1 SV=1,7,2,5,327,70.4,40.2,59.1,55.5,58.9,65.7,58.7,52.9,49.6,65.4,57.8,53.4,74.4,53.8,45.9,59.5,48.6,59.9,51.4,84.0
O00712,Nuclear factor 1 B-type OS=Homo sapiens OX=9606 GN=NFIB PE=1 SV=2,5,2,3,420,15.8,11.6,16.0,18.8,17.5,19.6,16.8,14.5,19.1,15.2,58.0,49.7,92.7,49.3,80.1,66.5,49.1,48.3,46.2,68.9
Q9Y3M8,StAR-related lipid transfer protein 13 OS=Homo sapiens OX=9606 GN=STARD13 PE=1 SV=2,2,2,5,1113,28.4,15.7,24.3,31.7,19.8,35.1,24.7,19.4,21.0,26.9,,,,,,,,,,
P00390,"Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2",6,2,9,522,19.3,9.5,22.9,20.8,23.0,20.6,14.9,19.6,18.3,18.6,19.4,17.1,24.4,25.1,24.0,23.5,15.4,20.3,21.3,29.7
Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,9,8,18,1217,50.7,23.0,63.8,50.4,46.6,49.8,54.1,43.5,38.7,38.1,67.6,64.7,100.4,75.2,82.1,71.2,66.8,57.8,56.1,97.1
P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCB PE=1 SV=3",12,4,22,539,25.5,13.3,21.6,27.4,23.1,25.6,25.9,21.5,21.4,26.2,37.6,32.4,38.4,43.6,41.8,36.8,73.2,33.5,32.3,45.5
P29350,Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens OX=9606 GN=PTPN6 PE=1 SV=1,5,3,7,595,68.4,40.9,81.8,86.1,68.6,69.0,66.7,59.0,62.2,59.6,94.5,111.9,184.8,118.6,135.4,127.6,85.9,121.3,89.5,145.0
O75477,Erlin-1 OS=Homo sapiens OX=9606 GN=ERLIN1 PE=1 SV=2,7,2,4,348,,,,,,,,,,,15.3,10.5,27.3,19.3,12.8,17.4,11.7,14.5,11.2,16.6
Q9Y3Z3,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens OX=9606 GN=SAMHD1 PE=1 SV=2,8,5,10,626,126.3,74.5,102.4,147.9,109.6,144.1,142.7,123.2,151.5,135.4,64.6,55.5,66.7,57.3,56.0,60.8,48.2,52.8,40.3,68.4
P12110,Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4,3,3,3,1019,,,,,,,,,,,52.1,47.7,79.8,54.3,52.0,64.8,57.9,41.4,38.8,70.2
O75165,DnaJ homolog subfamily C member 13 OS=Homo sapiens OX=9606 GN=DNAJC13 PE=1 SV=5,2,4,4,2243,21.1,13.1,23.9,33.0,24.5,22.0,26.4,17.9,22.0,15.8,31.7,29.5,49.4,31.5,40.4,35.7,35.0,29.1,26.0,45.3
Q9Y5N6,Origin recognition complex subunit 6 OS=Homo sapiens OX=9606 GN=ORC6 PE=1 SV=1,6,2,3,252,,,,,,,,,,,18.9,15.1,26.7,22.5,17.1,24.4,21.6,18.0,10.6,27.5
Q14974,Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,14,8,18,876,89.5,61.4,90.2,101.9,88.1,92.7,92.6,83.3,75.3,76.2,147.8,133.4,209.1,159.7,164.7,154.1,126.2,144.2,103.2,175.5
Q9Y224,"RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1",23,4,13,244,67.1,47.9,77.3,75.6,66.2,73.3,74.2,56.9,71.8,62.5,82.5,73.4,123.7,92.2,100.8,122.2,84.9,91.5,87.9,124.9
P50991,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,16,8,23,539,128.7,69.0,135.5,140.7,118.9,132.4,118.8,90.9,114.5,95.0,68.2,66.3,102.0,74.3,81.9,78.8,66.2,65.4,67.1,95.1
P35998,26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,31,12,31,433,119.9,48.2,86.7,93.7,110.0,109.8,119.4,81.8,96.2,77.5,145.8,131.6,185.9,140.7,158.1,165.9,118.5,139.8,104.3,175.9
Q13630,GDP-L-fucose synthase OS=Homo sapiens OX=9606 GN=GFUS PE=1 SV=1,8,2,6,321,59.4,33.5,62.7,74.7,78.6,73.1,71.9,68.3,67.7,64.1,86.1,74.4,86.9,65.0,65.4,70.3,51.5,75.1,66.0,91.5
O95747,Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1,6,3,9,527,51.7,41.4,63.8,74.9,61.2,57.5,71.6,53.5,52.5,46.7,115.5,83.3,110.8,129.6,92.2,94.8,123.7,91.9,68.4,137.1
P11172,Uridine 5'-monophosphate synthase OS=Homo sapiens OX=9606 GN=UMPS PE=1 SV=1,8,4,8,480,110.2,61.7,113.5,148.8,109.2,131.4,134.8,99.8,98.7,109.4,81.1,75.0,130.7,90.4,109.9,99.2,82.1,84.4,62.1,114.5
Q96T51,RUN and FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RUFY1 PE=1 SV=2,3,2,5,708,25.2,13.3,25.3,31.1,26.9,23.9,27.0,17.4,22.6,18.9,,,,,,,,,,
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,21,10,39,466,113.1,93.1,125.5,205.9,110.4,123.9,282.0,121.3,158.1,141.3,130.0,52.7,144.4,73.5,80.5,132.3,91.5,84.2,76.9,116.1
P29353,SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=4,10,4,15,583,27.4,25.7,30.3,65.1,36.6,43.5,50.1,34.1,28.8,49.4,207.8,189.8,333.4,243.2,231.3,240.5,179.7,229.5,149.6,275.7
Q9NR45,Sialic acid synthase OS=Homo sapiens OX=9606 GN=NANS PE=1 SV=2,8,2,8,359,25.0,13.0,37.5,25.1,18.3,21.4,23.1,17.5,25.8,22.0,25.0,24.9,34.0,27.4,35.1,36.2,22.7,28.4,25.9,38.3
P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,21,13,223,732,73.2,48.7,81.6,107.3,93.3,88.2,91.0,72.7,74.7,73.7,87.9,75.5,133.1,92.8,103.4,119.0,75.0,78.8,75.5,129.1
Q9NUI1,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] OS=Homo sapiens OX=9606 GN=DECR2 PE=1 SV=1",14,4,12,292,124.3,73.8,119.8,131.3,149.8,120.6,131.3,94.3,104.3,109.7,124.9,100.2,152.9,168.7,117.3,105.9,108.0,102.6,70.9,150.5
Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,31,11,105,445,176.9,108.7,151.9,161.1,157.9,176.9,170.0,134.4,125.1,138.3,51.8,51.3,78.2,63.8,60.6,53.1,54.1,45.2,36.1,91.8
P51687,"Sulfite oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=SUOX PE=1 SV=2",10,5,24,545,96.3,60.7,96.0,114.0,103.5,105.2,107.9,97.9,107.2,104.0,131.6,118.6,223.6,142.1,148.9,147.3,127.7,145.6,128.6,182.9
P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,20,17,56,1134,375.5,195.1,245.1,423.0,244.7,323.0,324.6,226.2,237.8,232.7,257.7,240.1,281.3,291.1,238.6,278.1,196.5,209.2,156.8,281.1
Q9NW64,Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1,5,2,2,420,,,,,,,,,,,68.0,56.3,116.7,65.8,74.7,90.9,72.9,73.7,69.1,89.7
Q8N4T8,3-oxoacyl-[acyl-carrier-protein] reductase OS=Homo sapiens OX=9606 GN=CBR4 PE=1 SV=3,7,2,4,237,303.7,186.9,242.2,357.7,273.9,300.3,277.6,253.7,264.0,257.1,109.2,106.3,118.3,107.8,130.7,118.2,77.5,97.0,89.9,133.9
Q16531,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,13,14,27,1140,157.9,86.5,153.9,164.9,153.5,168.1,162.3,130.9,151.3,148.6,81.8,76.0,135.2,106.5,116.2,122.1,88.9,91.2,76.9,123.4
Q9UJV9,Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2,5,2,3,622,20.1,14.0,27.1,22.5,18.5,22.1,21.2,17.7,18.0,20.1,11.6,10.9,15.7,17.1,15.1,15.1,8.4,15.9,10.6,19.8
